Source	Site	Process	Period	Year-Month	Sample	Accession
Runoff	E	Filtration	23	2016-03	OSU550	SRR6303864
Runoff	D	Filtration	23	2016-03	OSU549	SRR6303865
Reservoir	C	Filtration	23	2016-03	OSU548	SRR6303866
Runoff	B	Filtration	23	2016-03	OSU547	SRR6303867
Reservoir	C	Filtration	20	2016-02	OSU499	SRR6303868
Reservoir	K	Filtration	23	2016-03	OSU556	SRR6303869
Reservoir	J	Filtration	23	2016-03	OSU555	SRR6303870
Runoff	B	Filtration	20	2016-02	OSU498	SRR6303871
River	A	Filtration	20	2016-02	OSU497	SRR6303872
River	M	Filtration	19	2016-01	OSU496	SRR6303873
Reservoir	G	Filtration	11	2015-09	OSU368	SRR6303874
Runoff	H	Filtration	11	2015-09	OSU369	SRR6303875
Reservoir	K	Filtration	10	2015-09	OSU344	SRR6303876
Reservoir	K	Leaf baiting	10	2015-09	OSU362	SRR6303877
Reservoir	L	Filtration	10	2015-09	OSU345	SRR6303878
Reservoir	L	Leaf baiting	10	2015-09	OSU363	SRR6303879
River	M	Filtration	10	2015-09	OSU346	SRR6303880
River	A	Filtration	11	2015-09	OSU365	SRR6303881
Runoff	B	Filtration	11	2015-09	OSU366	SRR6303882
Reservoir	C	Filtration	11	2015-09	OSU367	SRR6303883
Runoff	B	Filtration	02	2015-05	OSU97	SRR6303884
Reservoir	C	Leaf baiting	02	2015-05	OSU116	SRR6303885
Reservoir	C	Filtration	02	2015-05	OSU98	SRR6303886
Runoff	D	Leaf baiting	02	2015-05	OSU117	SRR6303887
Reservoir	K	Filtration	01	2015-04	OSU82	SRR6303888
River	M	Filtration	01	2015-04	OSU84	SRR6303889
River	A	Leaf baiting	02	2015-05	OSU114	SRR6303890
Runoff	B	Leaf baiting	02	2015-05	OSU115	SRR6303891
Runoff	D	Filtration	02	2015-05	OSU99	SRR6303892
Runoff	E	Filtration	02	2015-05	OSU100	SRR6303893
Runoff	H	Leaf baiting	16	2015-12	OSU449	SRR6303894
Runoff	I	Filtration	16	2015-12	OSU440	SRR6303895
Runoff	I	Leaf baiting	16	2015-12	OSU450	SRR6303896
Reservoir	J	Filtration	16	2015-12	OSU441	SRR6303897
Reservoir	L	Filtration	06	2015-07	OSU239	SRR6303898
Reservoir	K	Leaf baiting	06	2015-07	OSU250	SRR6303899
Reservoir	K	Filtration	06	2015-07	OSU238	SRR6303900
Reservoir	J	Filtration	06	2015-07	OSU237	SRR6303901
Runoff	B	Filtration	07	2015-07	OSU252	SRR6303902
River	A	Filtration	07	2015-07	OSU251.s058	SRR6303903
River	A	Filtration	07	2015-07	OSU251	SRR6303904
River	M	Filtration	06	2015-07	OSU240	SRR6303905
Reservoir	G	Filtration	07	2015-07	OSU254	SRR6303906
Reservoir	C	Filtration	07	2015-07	OSU253	SRR6303907
River	A	Filtration	01	2015-04	OSU72	SRR6303908
Runoff	B	Filtration	01	2015-04	OSU73	SRR6303909
Reservoir	C	Filtration	01	2015-04	OSU74	SRR6303910
Runoff	D	Filtration	01	2015-04	OSU75	SRR6303911
Runoff	E	Filtration	01	2015-04	OSU76	SRR6303912
Runoff	F	Filtration	01	2015-04	OSU77	SRR6303913
Reservoir	G	Filtration	01	2015-04	OSU78	SRR6303914
Runoff	H	Filtration	01	2015-04	OSU79	SRR6303915
Runoff	I	Filtration	01	2015-04	OSU80	SRR6303916
Reservoir	J	Filtration	01	2015-04	OSU81	SRR6303917
River	A	Filtration	16	2015-12	OSU434	SRR6303918
River	M	Filtration	15	2015-11	OSU433	SRR6303919
Reservoir	L	Filtration	15	2015-11	OSU432	SRR6303920
Reservoir	K	Filtration	15	2015-11	OSU431	SRR6303921
Reservoir	J	Filtration	15	2015-11	OSU430	SRR6303922
Runoff	I	Filtration	15	2015-11	OSU429	SRR6303923
Runoff	H	Filtration	15	2015-11	OSU428	SRR6303924
Reservoir	G	Filtration	15	2015-11	OSU427	SRR6303925
River	A	Filtration	26	2016-04	OSU594	SRR6303926
Runoff	B	Filtration	26	2016-04	OSU595	SRR6303927
Reservoir	L	Filtration	25	2016-04	OSU582	SRR6303928
River	M	Filtration	25	2016-04	OSU583	SRR6303929
Reservoir	J	Filtration	25	2016-04	OSU580	SRR6303930
Reservoir	K	Filtration	25	2016-04	OSU581	SRR6303931
Runoff	B	Filtration	16	2015-12	OSU435	SRR6303932
River	A	Leaf baiting	16	2015-12	OSU445	SRR6303933
Reservoir	L	Filtration	04	2015-06	OSU171	SRR6303934
Reservoir	K	Leaf baiting	04	2015-06	OSU194	SRR6303935
Reservoir	J	Leaf baiting	04	2015-06	OSU193	SRR6303936
Reservoir	J	Leaf baiting	04	2015-06	OSU181	SRR6303937
Reservoir	K	Leaf baiting	04	2015-06	OSU182	SRR6303938
Reservoir	K	Filtration	04	2015-06	OSU170	SRR6303939
Runoff	I	Leaf baiting	04	2015-06	OSU180	SRR6303940
Runoff	I	Filtration	04	2015-06	OSU168	SRR6303941
