Site Code (Site Type)	Location	Surveyed Location and Nearest Hosts	Signs of Ill-Health Tree Status	ITS	COI	Isolation	ITS Illumina
DS7 (Woodland/Recreational Park)	DS7-5	Crataegus in mature woodland	Dead	P. capsici, P. castaneae, P. cinnamomi, P. fallax, P. foliorum, P. obscura, P. plurivora/citricola, P. rubi/fragariae, P. siskiyouensis, Clade 2 Phytophthora sp. uncultured 17a	-	-	SRR13393793
DS8 (Woodland/Recreational Park)	DS8-1	Larix	Dead	-	Nothophytophthora sp. 2	-	Unavailable
DS8 (Woodland/Recreational Park)	DS8-2	Fraxinus	Dead	P. syringae	P. syringae, New Clade Phytophthora sp. uncultured 13b, Nothophytophthora sp. 2	-	SRR13393792
DS8 (Woodland/Recreational Park)	DS8-3	Alnus	Healthy	P. pseudosyringae, P. syringae, Clade 7 Phytophthora sp. uncultured 6a, Clade 3 Phytophthora sp. uncultured 11a	P. pseudosyringae, P. syringae	-	SRR13393790
DS8 (Woodland/Recreational Park)	DS8-4	Pinus nigra	Healthy	Clade 7 Phytophthora sp. uncultured 7a	Nothophytophthora sp. 5	-	SRR13393789
DS8 (Woodland/Recreational Park)	DS8-5	Fraxinus stump, decayed tree in mature woodland	NA	P. capsici, P. castaneae, P. fallax, P. foliorum, P. obscura, P. plurivora/citricola, P. rubi/fragariae, P. syringae, Clade 7 Phytophthora sp. uncultured 5a, Clade 6 Phytophthora sp. uncultured 8a, Clade 1 Phytophthora sp. uncultured 13a	P. syringae, Clade 1 Phytophthora sp. uncultured 1b, Clade 6 Phytophthora sp. uncultured 4b, Clade 7 Phytophthora sp. uncultured 6b	-	SRR13393788
DS9 (Arboreta)	DS9-1	Chamaecyparis thyoides, Picea brachytyla	Healthy	P. austrocedri, P. cinnamomi, P. plurivora/citricola	New Clade Phytophthora sp. uncultured 16b	P. chlamydospora	SRR13393779
DS9 (Arboreta)	DS9-2	Grassland, Parrotia persica, Pseudotsuga menziesii	Healthy	P. syringae	Nothophytophthora sp. 7	P. chlamydospora, P. ramorum	SRR13393787;SRR13393778
DS9 (Arboreta)	DS9-3	Quercus cerris	Healthy	-	-	-	SRR13393786
DS9 (Arboreta)	DS9-4	Pinus sylvestris	Healthy	P. primulae	P. primulae	-	SRR13393785
DS9 (Arboreta)	DS9-5	Quercus robur	Healthy	P. fallax, P. foliorum, P. idaei, P. plurivora/citricola, Clade 1 Phytophthora sp. uncultured 12a and 13a, Clade 2 Phytophthora sp. uncultured 17a	New Clade Phytophthora sp. uncultured 15b, New Clade Phytophthora sp. uncultured 17b	-	SRR13393777;SRR13393784
DS9 (Arboreta)	DS9-6	Taxus baccata	Decline	P. syringae, Clade 6 Phytophthora sp. uncultured 15a	-	P. gonapodyides	SRR13393776
DS9 (Arboreta)	DS9-7	Mixed species, new plantings: Acer, Cornus, Calocedrus, Fraxinus	Healthy	P. austrocedri	New Clade Phytophthora sp. uncultured 12b, New Clade Phytophthora sp. uncultured 17b	-	SRR13393775;SRR13393783
DS9 (Arboreta)	DS9-8	Cedrus atlantica	Healthy	-	-	-	Unavailable
DS9 (Arboreta)	DS9-9	Quercus petraea, Quercus ilex	Healthy	P. foliorum, P. rubi/fragariae, Clade 11 Phytophthora sp. uncultured 18a and 19a	-	P. plurivora	SRR13393774
DS9 (Arboreta)	DS9-10	Prumnopitys andina, Pinus contorta, boundary with Larix	Healthy	P. primulae	New Clade Phytophthora sp. uncultured 16b	-	SRR13393782
DS9 (Arboreta)	DS9-11	Pseudotsuga menziesii	Healthy	P. austrocedri	-	-	SRR13393781
US1 (Undisturbed site 1)	US1-1	Larix	Dead	-	-	-	Unavailable
US1 (Undisturbed site 1)	US1-2	Sorbus aucuparia	Declining	P. obscura, P. ramorum	P. ramorum	-	SRR13393773
US1 (Undisturbed site 1)	US1-3	Crataegus	Declining	P. syringae	-	-	SRR13393808
US1 (Undisturbed site 1)	US1-4	Betula	Dead	P. ramorum	-	-	SRR13393772
US1 (Undisturbed site 1)	US1-5	Betula	Declining	-	-	-	Unavailable
